candidate_id,method,feature_space,k,selection_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,repeat_mean_ari,bootstrap_mean_ari,smallest_cluster_fraction,noise_fraction,cluster_entropy,eligible_for_final_selection,exclusion_reasons
pca_scores__kmeans__k-4,kmeans,pca_scores,4,0.7717622872637471,0.3710296712225902,879.2446291614956,1.0814824195522463,1.0,0.9928502835012988,0.12358674463937622,0.0,0.869341616540468,true,
pca_scores__fuzzy__k-4,fuzzy,pca_scores,4,0.7655980894898434,0.35350846018355986,855.9104600406256,1.1213870218852198,1.0,0.9883058822061154,0.13879142300194933,0.0,0.9007290335697498,true,
pca_scores__kmeans__k-5,kmeans,pca_scores,5,0.7490379931463655,0.36532129219013215,874.8911937615683,1.0029779294028356,0.9986489335080425,0.9927078636720934,0.0304093567251462,0.0,0.8108653066418655,true,
pca_scores__fuzzy__k-3,fuzzy,pca_scores,3,0.7218417993793893,0.30218631028586734,786.9546817411274,1.3167270230253987,1.0,0.9763666110112321,0.1847953216374269,0.0,0.9101254574776068,true,
pca_scores__kmeans__k-3,kmeans,pca_scores,3,0.7212153375423661,0.3271200211109109,822.9036644754715,1.2455973528902768,0.9993660747514297,0.9696983909571231,0.1571150097465887,0.0,0.8465466392361451,true,
pca_scores__kmeans__k-2,kmeans,pca_scores,2,0.7148546604676632,0.4370831222746392,865.6979984534321,1.4079329288073383,1.0,0.9835334178681582,0.1898635477582846,0.0,0.7011859250813741,true,
pca_scores__fuzzy__k-2,fuzzy,pca_scores,2,0.7002123455027667,0.36333559158505496,759.3419399990382,1.6640261430800112,1.0,0.9684149526236058,0.30214424951267055,0.0,0.8838962415727641,true,
selected_features__kmeans__k-4,kmeans,selected_features,4,0.6949934922381026,0.3002016581946503,661.5004870604693,1.2865490936097121,0.9993727108346393,0.9937453449567761,0.12475633528265107,0.0,0.8689297692280676,true,
pca_scores__fuzzy__k-5,fuzzy,pca_scores,5,0.6888028492652446,0.21711320141844917,722.2328888680856,1.3069979733499952,1.0,0.9816649073647153,0.12436647173489279,0.0,0.9716318494013587,true,
pca_scores__gmm__k-2__covariance-diag,gmm,pca_scores,2,0.6824596816851698,0.3583484979273726,621.2989889951035,1.8864237152082817,0.9984349644995036,0.9919406069487254,0.3376218323586745,0.0,0.9225247607724923,true,
selected_features__kmeans__k-5,kmeans,selected_features,5,0.6689591757032881,0.2936673430992508,639.1788499313852,1.1981626714839804,0.9993977283546109,0.9919810659619935,0.0304093567251462,0.0,0.8071940296910555,true,
selected_features__kmeans__k-3,kmeans,selected_features,3,0.6686384867594576,0.27043003758319073,653.105385578436,1.4410592175402532,1.0,0.9949637066163786,0.15867446393762183,0.0,0.8467349998021044,true,
pca_scores__gmm__k-4__covariance-diag,gmm,pca_scores,4,0.6651079797504822,0.2615401829766603,540.1424683866567,1.5657503441595049,1.0,0.9877465380222797,0.18050682261208578,0.0,0.9615462527107564,true,
selected_features__kmeans__k-2,kmeans,selected_features,2,0.6592285670171806,0.39007990686062577,702.6010053547199,1.6033009617652878,0.9978243239905594,0.9858662380918886,0.19454191033138402,0.0,0.7108766761997158,true,
selected_features__fuzzy__k-3,fuzzy,selected_features,3,0.6570129268323615,0.23538823273502169,611.4067806816886,1.561700010426503,1.0,0.9729858049066985,0.21091617933723197,0.0,0.935176075916993,true,
